TYPE.ORI,TYPE.NEW,CLASS,STR,TYPE.MAIN,TYPE.ZIP,TYPE.NOTE
(XLS)ZIP,XLS-ZIP,Sheets,NO,XLS,ZIP,
(XML((PDF),XML--PDF,Docs,YES,XML,,PDF
(XML),XML,Docs,YES,XML,,
(XML)(PDF),XML--PDF,Docs,YES,XML,,PDF
(XML)RAR,XML-RAR,Docs,YES,XML,RAR,
(XML)ZIP,XML-ZIP,Docs,YES,XML,ZIP,
(按月),CSV,Sheets,YES,CSV,,
(按年),CSV,Sheets,YES,CSV,,
.CSV,CSV,Sheets,YES,CSV,,
.ODT,ODT,Docs,NO,ODT,,
.PDF,PDF,Docs,NO,PDF,,
.ZIP,ZIP,Docs,NO,ZIP,,
ASMX,ASMX,API,YES,ASMX,,
CAP,RSS,Docs,YES,RSS,,
CSV,CSV,Sheets,YES,CSV,,
CSV (ZIP多檔壓縮),CSV-ZIP,Sheets,YES,CSV,ZIP,
CSV(RAR),CSV-RAR,Sheets,YES,CSV,RAR,
CVS,XLS,Sheets,NO,XLS,,
DEMDSM,DEMDSM,API,YES,DEMDSM,,
DOC,DOC,Docs,NO,DOC,,
DOC (ZIP多檔壓縮),DOC-ZIP,Docs,NO,DOC,ZIP,
DOCX,DOCX,Docs,NO,DOCX,,
EXCEL,XLS,Sheets,NO,XLS,,
EXL,XLS,Sheets,NO,XLS,,
GIF,GIF,WebPage,NO,GIF,,
HTML,WebService,WebPage,NO,WebService,,
HTTP://WWW.2000.COM.TW/NATIONALSAFE/BUDGET.HTML,WebPage,WebPage,NO,WebPage,,
HTTP://WWW.PRESIDENT.GOV.TW/NATIONALSAFE/BUDGET.HTML,WebPage,WebPage,NO,WebPage,,
JOSN,JSON,Docs,YES,JSON,,
JSON,JSON,Docs,YES,JSON,,
KML,KML,MAPs,YES,KML,,
KMZ,KMZ,MAPs,YES,KMZ,,
MOBILE,WebPage,WebPage,YES,WebPage,,
MXL,WebService,WebPage,NO,WebService,,
ODF,ODF,Docs,NO,ODF,,
ODS,ODS,Sheets,NO,ODS,,
ODS (ZIP多檔壓縮),ODS-ZIP,Sheets,NO,ODS,ZIP,
ODT,ODT,Docs,NO,ODT,,
ODT (ZIP多檔壓縮),ODT-ZIP,Docs,NO,ODT,ZIP,
OLAP,WebService,WebPage,NO,WebService,,
PDF,PDF,Docs,NO,PDF,,
PDF (ZIP多檔壓縮),PDF-ZIP,Docs,NO,PDF,ZIP,
PDF(7Z多檔壓縮),PDF-7Z,Docs,NO,PDF,7Z,
PDF(RAR多檔壓縮),PDF-RAR,Docs,NO,PDF,RAR,
PDF(ZIP多檔壓縮),PDF-ZIP,Docs,NO,PDF,ZIP,
"PDF,TIFF (ZIP多檔壓縮)",PDF-ZIP,Docs,NO,PDF,ZIP,
"PDF,XLS,DOC,ODS (ZIP多檔壓縮)",PDF-ZIP,Docs,NO,PDF,ZIP,
PDF、DOC,PDF--DOC,Docs,NO,PDF,,DOC
PDF、XML,XML--PDF,Docs,YES,XML,,PDF
PDF、XML、ODT、ODS,"XML--PDF, ODT, ODS",Docs,YES,XML,,"PDF, ODT, ODS"
PDF、XML、WORD、EXCEL,"XML--PDF, WORD, EXCEL",Docs,YES,XML,,"PDF, WORD, EXCEL"
PDF.ZIP,PDF-ZIP,Docs,NO,PDF,ZIP,
PNG,PNG,WebPage,NO,PNG,,
RAR,RAR,Docs,NO,RAR,,
RAR、XML,XML-RAR,Docs,YES,XML,RAR,
RDF,RDF,Docs,NO,RDF,,
RSS,RSS,Docs,YES,RSS,,
SERVICES,WebService,WebPage,NO,WebService,,
SH,SHP,MAPs,YES,SHP,,
SHP,SHP,MAPs,YES,SHP,,
TXT,TXT,Docs,NO,TXT,,
UNDEFINED,OTHERS,Docs,NO,OTHERS,,
URL,WebService,WebPage,NO,WebService,,
WEBQUERY,WebService,WebPage,NO,WebService,,
WEBSERVICES,WebService,WebPage,NO,WebService,,
WMS,WMS,MAPs,YES,WMS,,
WMTS,WMTS,MAPs,YES,WMTS,,
WORD,WORD,Docs,NO,WORD,,
XLM,XML,Docs,YES,XML,,
XLS,XLS,Sheets,NO,XLS,,
XLS、XML,XML--XLS,Docs,YES,XML,,XLS
XLS、XML、PDF,"XML--XLS, PDF",Docs,YES,XML,,"XLS, PDF"
XLSX,XLSX,Sheets,NO,XLSX,,
XML,XML,Docs,YES,XML,,
ＸＭＬ,XML,Docs,YES,XML,,
XML (7Z多檔壓縮),XML-7Z,Docs,YES,XML,7Z,
XML (ZIP多檔壓縮),XML-ZIP,Docs,YES,XML,ZIP,
XML 、PDF,XML--PDF,Docs,YES,XML,,PDF
XML(.7Z),XML-7z,Docs,YES,XML,7z,
XML(.RAR),XML-RAR,Docs,YES,XML,RAR,
XML(.ZIP),XML-ZIP,Docs,YES,XML,ZIP,
XML(7Z),XML-7z,Docs,YES,XML,7z,
XML(7Z多檔壓縮),XML-7Z,Docs,YES,XML,7Z,
XML(PDF),XML--PDF,Docs,YES,XML,,PDF
XML(RAR多檔壓縮),XML-RAR,Docs,YES,XML,RAR,
XML(ZIP),XML-RAR,Docs,YES,XML,RAR,
XML(ZIP多檔壓縮),XML-ZIP,Docs,YES,XML,ZIP,
XML、PDF,XML--PDF,Docs,YES,XML,,PDF
XML.PDF,XML--PDF,Docs,YES,XML,,PDF
XML.XLS.PDF,"XML--PDF, XLS",Docs,YES,XML,,"PDF, XLS"
XML.ZIP,XML-ZIP,Docs,YES,XML,ZIP,
ZIP,XML-ZIP,Docs,YES,XML,ZIP,
其他,WebPage,WebPage,NO,WebPage,,
其他檔案格式,PDF-ZIP,Docs,NO,PDF,ZIP,
其它,PDF,Docs,NO,PDF,,
國家文官學院及所屬103年度單位決算,XLS,Sheets,NO,XLS,,
國家文官學院及所屬會計月報,XLS,Sheets,NO,XLS,,
資料存取網址,WebPage,WebPage,NO,WebPage,,
網站,WebPage,WebPage,NO,WebPage,,
臺灣雲林地方法院105年度預算案,XLS,Sheets,NO,XLS,,
